time,phase,target_x,target_y,target_z,drone_x,drone_y,drone_z
5.279998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.514,5.763365,1157.252
5.299998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.551,5.775286,1157.229
5.319998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.589,5.787221,1157.206
5.339998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.626,5.799168,1157.182
5.359998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.664,5.811128,1157.159
5.379998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.701,5.823103,1157.136
5.399998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.739,5.835094,1157.113
5.419998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.776,5.8471,1157.089
5.439998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.814,5.859124,1157.066
5.459998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.851,5.871162,1157.043
5.479998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.889,5.883215,1157.02
5.499998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.926,5.895281,1156.997
5.519998,PAUSE_AT_START,1307.06,6.976,1155.06,1303.964,5.907361,1156.974
5.539998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.001,5.919456,1156.95
5.559998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.039,5.931564,1156.927
5.579998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.076,5.943686,1156.904
5.599998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.114,5.95582,1156.881
5.619998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.151,5.967968,1156.858
5.639998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.188,5.980128,1156.835
5.659998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.226,5.992301,1156.812
5.679998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.263,6.004484,1156.789
5.699998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.301,6.016677,1156.766
5.719998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.338,6.02888,1156.742
5.739998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.376,6.041091,1156.719
5.759998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.413,6.053311,1156.696
5.779998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.451,6.06554,1156.673
5.799998,PAUSE_AT_START,1307.06,6.976,1155.06,1304.489,6.077775,1156.65
